Categoria,Chiave di ricerca,Risposta
Tipologie di email,Richiesta informazioni celebrazione battesimo di bambini,"Celebriamo il battesimo preferibilmente il sabato sera o nel giorno di domenica, all'interno della Messa. Prepariamo i genitori e i padrini al sacramento in un incontro della durata di circa un'ora da fissare col sacerdote celebrante, nei giorni anteriori al Battesimo. Se e solo se l'interlocutore avanza richieste particolari (celebrazione in un altro giorno, senza la Messa, con un sacerdote esterno...) invitare a contattare direttamente il parroco."
Tipologie di email,Richiesta di fissare la data per un matrimonio o un battesimo o un funerale,Rispondere che la segreteria esaminerà se è possibile accontentare la richiesta e farà sapere al più presto.
Tipologia di email,Richiesta celebrazione battesimo,A chi chiede che i propri figli vengano battezzati nella nostra parrocchia rispondere che siamo lieti di poterlo fare. Ci metteremo al più presto in contatto con il richiedente per stabilire data e altr dettagli.
Contatti,Contatti parrocchia,Tel: [TELEFONO PARROCCHIA]. Email: [EMAIL PARROCCHIA]
Contatti,Orari apertura segreteria,"Dal lunedì al venerdì, 8:00-12:00"
Orari Basilica,Orari basilica invernali,8:00-12:00 e 16:00-20:00
Orari Basilica,Orari basilica estivi,8:00-12:00 e 17:00-20:00
Orari Messe,Orari Messe sabato invernali,"8:00, 19:00"
Orari Messe,Orari Messe feriali invernali,"7:25, 13:15, 19:00"
Orari Messe,Orari Messe festive invernali,"9:30, 11:00, 12:15, 13:15, 17:30, 19:00"
Orari Messe,Orari Messe estivi,"Feriali (Lun-Ven): 7:25, 19:00. Sabato: 8:00, 19:00. Festivi: 9:30, 11:00, 12:15, 19:00"
Orari Messe,Giorni Speciali,"Nelle solennità e feste di precetto, l'orario delle Messe è quello domenicale. PERIODO INVERNALE (ore 9.30, 11.00, 12.15, 13.15, 17.30, 19.00): 1 gennaio, 6 gennaio, 1 novembre, 8 dicembre, 25 dicembre, e 29 giugno se cade in periodo invernale. PERIODO ESTIVO (ore 9.30, 11.00, 12.15, 19.00): 15 agosto, e 29 giugno se cade in periodo estivo."
Orari Messe,Giorni Speciali,"I giorni 25 aprile, 1 maggio, il lunedì successivo alla Pasqua e il 26 dicembre si celebra esclusivamente la Messa delle 19"
Confessioni,Orari confessioni,"Tutti i giorni, negli orari di apertura della Basilica."
Celebrazioni Liturgiche,Date e orari Novena Immacolata,"30 Novembre - 7 Dicembre. S. Rosario 18:30, S. Messa 19:00"
Celebrazioni Liturgiche,Date e orari Solennità Immacolata,"8 Dicembre. S. Rosario 10:30, S. Messa 11:00"
Celebrazioni Liturgiche,Orario Messa Notte di Natale,24 Dicembre. S. Messa ore 24:00
Celebrazioni Liturgiche,Date Esercizi Spirituali Pasquali,"14, 15 e 16 aprile 2025 dalle 17:00 alle 19:30"
Celebrazioni Liturgiche,Date Triduo Pasquale,"17 aprile (Giovedì Santo), 18 aprile (Venerdì Santo), 19 aprile (Sabato Santo) 2025"
Celebrazioni Liturgiche,Data Prime Comunioni,17/05/2025 - Ore 10:45
Celebrazioni Liturgiche,Data Cresime,24 maggio 2026 - Ore 17:30
Celebrazioni Liturgiche,Data Festa di S. Eugenio,"05/06/2026 - S. Messa ore 19:00, Festa Parrocchiale ore 20:00"
Attività Liturgiche,Orari Adorazione Eucaristica,Ogni giovedì dalle 18:00 alle 19:00 (escluso periodo estivo)
Prime Comunioni,Data ritiro preparazione Cresime,09/05/2026. Dalle 10 alle 16.
Prime comunioni,Data incontro genitori Prime Comunioni,15 maggio 2026 - Ore 20.30 presso l'Auletta rossa dell'Icef. Entrata dal cortile.
Cresime,Data ritiro preparazione Cresime,"23 maggio 2026. Ore 15:30. Entrata dal cortile, Teminerà intorno alle 17.30."
Cresime ragazzi,Data incontro genitori Cresime ragazzi,22 maggio 2026 - Ore 20.30 presso l'Auletta rossa dell'Icef. Entrata dal cortile
Catechesi del buon Pastore,Data inizio catechesi,"21/09/2025 per frequentanti, 19/10/2025 per i nuovi iscritti"
Catechesi prime comunioni e Cresime ragazzi,Data inizio catechesi,"21/09/2025 alle ore 10, in Aula Magna"
Catechesi prime comunioni e Cresime ragazzi,Data fine catechesi,10/05/2026
Corsi prematrimoniali: primo corso,Data inizio catechesi,03/10/2026 alle ore 17.30
Corsi prematrimoniali: secondo corso,Data inizio catechesi,07/03/2026 alle ore 17.30
Corsi prematrimoniali,Date incontri primo corso,"4/10/2025, 11/10/2025, 18/10/2025, 25/10/2025; 08/11/2025, 15/11/2025, 22/11/2025 29/11/2025; 13/12/2025"
Corsi prematrimoniali,Date incontri secondo corso,"07/03/2026,14/03/2026, 21/03/2026, 28/03/2026; 11/04/2026, 18/04/2026; 09/05/2026, 16/05/2026, 23/05/2026"
Preparazione alla cresima adulti: primo corso,Data inizio catechesi,10/10/2026 alle ore 16.30
Preparazione alla cresima adulti: secondo corso,Data inizio catechesi,14/03/2026 alle ore 16.30
Preparazione alla cresima adulti,Date incontri primo corso,"11/10/2025, 18/10/2025, 25/10/2025; 08/11/2025, 15/11/2025, 22/11/2025 29/11/2025; 13/12/2025"
Preparazione alla cresima adulti,Date incontri secondo corso,"14/03/2026, 21/03/2026, 28/03/2026; 11/04/2026, 18/04/2026; 09/05/2026, 16/05/2026, 23/05/2026"
Catechesi,Orari lezioni catechesi adulti,"Lezioni di teologia tenuti dai sacerdoti della Parrocchia. Don [NOME] - Don [NOME], giovedì ore 19,30 - Don [NOME], mercoledì alle ore 19,30: Lettere di San Paolo: Efesini, Filippesi, Colossesi"
Catechesi,Informazioni catechesi Buon Pastore,"Esperienza formativa per bambini dai 3 agli 8 anni che si ispira alla pedagogia di Maria Montessori. Si svolge domenica alle 10:00. Motto: ""Far conoscere le parole di Gesù anche ai più piccoli"". Gli incontri avvengono in un ambiente appositamente allestito, chiamato “atrio” dove i bambini hanno la possibilità di esplorare materiali didattici e simbolici. I catechisti, appositamente formati, accompagnano i bambini in questo percorso di approfondimento. Fin dall’inizio della catechesi, i bambini vengono introdotti ai primi elementi della fede cristiana, come la figura del Buon Pastore, il simbolismo del Battesimo, l’Eucarestia e altri misteri della vita di Cristo. La catechesi del Buon Pastore riconosce l’importanza dell’ascolto delle parabole, del lavoro con gli oggetti e del silenzio come strumenti efficaci per far comprendere ai bambini il messaggio del Valgelo in modo concreto e significativo."
Catechesi,Iscrizioni catechesi Buon Pastore,"Contattare la segreteria e consegnare l'apposito modulo, scaricabile dal sito (vedi collegamento). 21 settembre per frequentanti. I nuovi iscritti della catechesi del Buon Pastore (3-8 anni) iniziano il 19 ottobre."
Catechesi,Informazioni catechesi Prima Comunione,Per bambini di 3ª e 4ª elementare. Domenica ore 10:00. Richiesta presenza di almeno un genitore alla catechesi parallela e partecipazione alla S. Messa delle 11:00
Catechesi,Iscrizioni catechesi Prima Comunione,"Modulo presso segreteria o online + Certificato di Battesimo (se non ricevuto a S. Eugenio, scrivere ""battezzato/a a S. Eugenio"" nelle osservazioni)"
Catechesi,Informazioni catechesi Cresima Ragazzi,"Per ragazzi di 5ª elementare, 1ª e 2ª media. Domenica ore 10:00. Percorso di due anni. Richiesta presenza genitori alla catechesi e Messa"
Catechesi,Iscrizioni catechesi Cresima Ragazzi,Modulo (anche online) + Certificato di Battesimo + successivamente Certificato di Idoneità del Padrino/Madrina
Catechesi,Orari incontri formazione adolescenti,La seconda e la quarta domenica del mese alle ore 10 con con Don [NOME]
Catechesi,Orari incontri formazione giovani,Martedì ore 21:00 con Don [NOME] e Don [NOME]
Catechesi,Informazioni catechesi Cresima Adulti,"Due possibilità lungo l'anno di partecipare a un corso (8 incontri). A partire dal secondo sabato di ottobre oppure dal secondo sabato di marzo. Si svolgono sempre di sabato, alle ore 16:30."
Buon Pastore,Link modulo iscrizione catechesi,tinyurl.com/buonpastore
Prima comunione,Link modulo iscrizione catechesi,tinyurl.com/cateche
Cresima ragazzi,Link modulo iscrizione catechesi,tinyurl.com/cateche
Cresima adulti,Link modulo iscrizione catechesi,tinyurl.com/cresimapr
Corso prematrimoniale,Link modulo iscrizione catechesi,https://tinyurl.com/prematri
Catechesi,Alternative per chi non può seguire una catechesi,"Possibilità di programmi personalizzati per giorno e ora, per venire incontro alle esigenze di lavoro. Scrivere nuovamente alla segreteria per illustrare le ragioni della incompatibilità di date o orari e proporne di diversi."
Padrini,Requisiti,"I criteri di idoneità per fre da padrino o madrina sono: aver compiuto 16 anni, non vivere in convivenza né essersi sposati solo civilmente, non aver procurato divorzio o essersi risposati civilmente, non essere genitore del cresimando, impegnarsi a condurre vita cristiana conforme alla fede."
Catechesi,Informazioni corsi prematrimoniali,"Corso di preparazione al matrimonio. Il corso consta di 9 incontri. Le lezioni si svolgeranno il sabato alle ore 17,30. È necessario compilare il modulo per iscriversi (scaricabile anche dal sito) Il modulo può essere consegnato via emai all'indirizzo della parrocchia o a mano anche il giorno stesso del primo incontro. Primo corso: 4 – 11 – 18 – 25 OTTOBRE, 8 – 15 – 22 – 29 NOVEMBRE, 13 DICEMBRE 2025 / Secondo corso 9 – 14 – 21 – 28 MARZO, 9 – 18 APRILE, 9 - 16 - 23 MAGGIO 2026"
Matrimoni,Documenti necessari per matrimonio,"Da preparare 5-6 mesi prima. Documenti religiosi: Certificato di Battesimo uso matrimonio + Certificato di Cresima. Documenti civili: Certificato contestuale in carta semplice (Residenza, cittadinanza e STATO CIVILE e NON,come erroneamente avviene, lo stato libero)."
Matrimoni di stranieri,Documenti necessari per matrimonio di stranieri,"SE E SOLO SE CHI SCRIVE È STRANIERO (cittadino NON italiano, residente all'estero):

⚠️ ATTENZIONE: Questa procedura NON si applica agli italiani di altre regioni (siciliani, pugliesi, lombardi, ecc.). Gli italiani residenti fuori Roma seguono una procedura ordinaria: pratica prematrimoniale nella loro parrocchia di domicilio, Nulla Osta del Vescovo locale al Vicariato di Roma, modello quattordici. NON serve Nulla Osta Consolare né contatto con consolati.

SOLO PER STRANIERI (cittadini non italiani):
1. Rallegrarsi per la loro decisione di sposarsi e di aver scelto la nostra parrocchia romana, come luogo delle nozze. 
2. USARE NELLA RISPOSTA LA STESSA LINGUA IN CUI HANNO SCRITTO 
Territorio parrocchiale,Enti presenti nel territorio parrocchia,• [ELENCO ENTI PRESENTI NEL TERRITORIO]
Chi Siamo,Tipo edificio parrocchia,Basilica minore
Donazioni,Modalità donazione,"Donazioni tramite sito web con carta di credito, PayPal, Satispay, Tinaba o Bonifico Bancario"
Donazioni,Dati bonifico bancario,"Beneficiario: Parrocchia [NOME]. IBAN: [INSERIRE IBAN]. Causale: ""CONTRIBUTO PER LE ATTIVITÀ PASTORALI"""
Informazioni generali,Informazioni su adempimenti finanziari,La segreteria si occupa anche del pagamento di ciò che è dovuto a terzi.
Attività parrocchiale,Prossimo appuntamento del Cineforum,Domenica 26 ottobre 2025 alle ore 16. Film: Io sono ancora qui. Scheda: bit.ly/cineugenio
Attività parrocchiali,Mostra permanente della Sindone,"[DATA E LUOGO EVENTO]. Per adesioni tua@parrocchia.com"
Attività parrocchiali,Informazioni pellegrinaggio Sette Chiese,Sabato 30/05/2026 - Orari: 8:30-17:30. Appuntamento presso la fermata metro Ottaviano
Attività parrocchiali,Visita alla mostra permanente sulla sindone,"Sabato 22 novembre, ore 11. Presso il Pontificio Ateneo Regina Apostolorum, via degli Aldobrandeschi, 190, Roma"
Attività parrocchiali,Raccolta alimentare,Presso [LUOGO]. [DATA E ORA]. Coordina Don [NOME]: email@esempio.com
Attività parrocchiali,Informazioni cineforum,"Ultima domenica del mese da ottobre a maggio, alle ore 16:00. Schede film qui: bit.ly/cineugenio"
Attività parrocchiali,Date cineforum,"26.X, 30.XI, 28.XII 2025. 25.I, 22.II, 29.III, 26.IV e 31.V 2026"
Attività parrocchiali,Informazioni spazio poesia,Invio contributi a: poesia@parrocchia.com. Poesie meritevoli esposte settimanalmente in parrocchia e pubblicate in una pagina web dedicata: [LINK].
Attività parrocchiali,Raccolta alimentare,Domenica 14 e 21 dicembre dalle ore 9-13 e dalle 17-20. Si prega di donare solo cibi a lunga conservazione. La raccolta verrà effettuata sotto i portici del cortile della parrocchia in [INDIRIZZO] 
Attività parrocchiali,Mercatino di Natale - Dicembre solidale,Sabato 13 e domenica 14 - sabato 20 e domenica 21 dicembre. Dalle ore 10.30/13.30 e dalle 17/20. Vendita di oggettistica e gastronomia a beneficio degli assistiti. L'esposizione si terrà nei locali parrocchiali 
Attività Parrocchiali,Concerto di Natale,"Domenica 14 dicembre alle ore 19 dirige il Maestro Ida Piccolantonio. Saranno eseguite musiche natalizie tradizionali, antiche e moderne, e per la prima volta lo spiritual ""Tell me Lord"" del Maestro Andrea Foscarini - INGRESSO LIBERO"
Attività parrocchiali,Corso di danza,"Per bambine dai 5 anni e ragazze dagli 11 anni fino ai 15. Inizio giovedì 23 ottobre 2025, ore 16.30"
Eventi Speciali,"pellegrinaggio santiago 2026, cammino santiago, tui santiago, iscrizione pellegrinaggio, costi pellegrinaggio santiago","═══════════════════════════════════════════════════════════════
PELLEGRINAGGIO A SANTIAGO DE COMPOSTELA 2026
═══════════════════════════════════════════════════════════════

📅 DATE: 27 giugno - 4 luglio 2026 (8 giorni totali)
🚶 PERCORSO: Tui (Portogallo) → Santiago de Compostela (Spagna)
   • 6 tappe a piedi (~120 km totali)
   • Media 20 km al giorno
   • Percorso adatto a tutti con preparazione fisica di base

───────────────────────────────────────────────────────────────
💰 OPZIONI ALLOGGIO E COSTI
───────────────────────────────────────────────────────────────

1️⃣ OSTELLO (Camere condivise)
   Costo: 250€
   Include:
   ✓ 6 notti in ostello
   ✓ Trasporto bagagli tra le tappe
   ✗ Pasti (da gestire autonomamente)
   ⚠️ IMPORTANTE: Portare il proprio sacco a pelo

2️⃣ ALBERGO (Stanze private)
   Costi per persona:
   • Camera singola: 640€
   • Camera doppia: 475€
   • Camera tripla: 460€
   Include:
   ✓ 6 notti in albergo
   ✓ Trasporto bagagli
   ✗ Pasti (da gestire autonomamente)

💡 SUPPLEMENTO OPZIONALE
   • Colazioni: +70€ (da aggiungere al costo base scelto)

───────────────────────────────────────────────────────────────
✈️ VIAGGIO (costi NON inclusi nelle quote sopra)
───────────────────────────────────────────────────────────────

VOLO AEREO (stimato ~200€)
• Partenza: Roma Fiumicino → Porto (Portogallo)
• Ritorno: La Coruña → Roma Fiumicino
TRANSFER AEROPORTO (stimato ~80€)
• Organizzato collettivamente dal gruppo

DETTAGLI:
Andata (27/6)
✈️ Volo Roma Fiumicino (FCO) → Porto (OPO)
Ryanair – FR 6007
Partenza: 10:45 – Arrivo: 12:45

🚌 Pullman Porto → Tui (organizzato)
📍 Partenza dall’aeroporto: 13:30 

RITORNO
🚌 Pullman Santiago → La Coruña (organizzato)
📍 Partenza dal centro città: 14:30

✈️ Volo La Coruña (LCG) → Roma Fiumicino (FCO)
Iberia - IB 460 (con scalo a Madrid)
Partenza: 17:45 - Arrivo: 00:15 (5 luglio)
INFO BAGAGLI: 
👉 Il servizio di trasporto bagagli accetta massimo 15 kg

➡️ Quindi, al momento dell’acquisto del volo:
Evitare il bagaglio da stiva da 20 kg
Scegliere un bagaglio che rientri nei 15 kg previsti dal servizio (es. bagaglio a mano da 10 kg, più eventuale piccola aggiunta consentita).
Durante la prenotazione i siti propongono pacchetti aggiuntivi (che oltre al bagaglio da stiva, includono la scelta del posto, l’imbarco prioritario ecc.): possono possono far salire il prezzo più del necessario. Se non si vogliono quei servizi aggiuntivi, conviene scegliere prima il volo e poi aggiungere il bagaglio in una schermata successiva, sempre prima del completamento dell’acquisto.
───────────────────────────────────────────────────────────────
📝 ISCRIZIONE E CONTATTI
───────────────────────────────────────────────────────────────

🔗 ISCRIZIONE ONLINE: tinyurl.com/santiago26
   (Modulo con tutti i dati richiesti)
Caparra: 150 €, da versare entro il 31 dicembre 2025
Saldo: entro il 15 maggio Condizioni di Rimborso

Annullamento entro il 20 aprile: rimborso totale della caparra, senza penali

Dal 21 aprile al 27 maggio: penale del 15% sulla quota

Annullamento negli ultimi 30 giorni prima della partenza: penalità pari al 50% della quota


Modalità: in contanti in segreteria parrocchiale oppure tramite bonifico
Intestazione: PARROCCHIA [NOME]
IBAN: [INSERIRE IBAN]
Causale: Cammino di Santiago 2026
ℹ️ PROGRAMMA COMPLETO: tinyurl.com/cammino26
   (Pagina parrocchiale con dettagli e itinerario)

📧 CONTATTI: tua@parrocchia.com
📞 Telefono: 06 12345678 (orari segreteria)

───────────────────────────────────────────────────────────────
🎒 PREPARAZIONE E CONSIGLI PRATICI
───────────────────────────────────────────────────────────────

COSA PORTARE (essenziale):
• Scarpe da trekking ben rodate (obbligatorio)
• Zaino comodo 20-25L
• Borraccia e bastoncini da cammino
• K-way o giacca antipioggia
• Sacco a pelo (se scelta ostello)
Nota: Le credenziali del pellegrino saranno fornite all'arrivo a Tui

PREPARAZIONE FISICA (consigliata):
• Iniziare 2-3 mesi prima
• Camminate progressive di 10-15 km
• Testare scarpe e zaino in anticipo
• Non serve esperienza trekking, ma discreta forma fisica

DOCUMENTI E SALUTE:
• Tessera sanitaria europea (obbligatoria)
• Kit primo soccorso personale (soprattutto rimedi per i piedi)

───────────────────────────────────────────────────────────────
📋 INFORMAZIONI UTILI
───────────────────────────────────────────────────────────────

✓ Aperto a: Ragazzi dai 16 anni, adulti, anziani in forma
✓ Accompagnamento spirituale durante il cammino
✓ Messa quotidiana
✓ Gruppo parrocchiale con coordinatori esperti
✓ Possibilità ""Compostela"" (certificato ufficiale pellegrino)

⚠️ I pasti NON sono inclusi (budget ~15-20€ al giorno)
⚠️ Costo totale stimato: quota scelta + volo (~200€) + transfer (~80€) + pasti
⚠️ Prenotazioni soggette a disponibilità
───────────────────────────────────────────────────────────────
"
